instance,algorithm,randomSeed,epsilon,horizon,REG
small_scale,epsilon-greedy,26,0.002,3200,624.0
small_scale,epsilon-greedy,26,0.002,12800,635.0
small_scale,epsilon-greedy,26,0.002,51200,655.0
small_scale,epsilon-greedy,26,0.002,204800,578.0
small_scale,epsilon-greedy,27,0.002,50,22.0
small_scale,epsilon-greedy,27,0.002,200,76.0
small_scale,epsilon-greedy,27,0.002,800,326.0
small_scale,epsilon-greedy,27,0.002,3200,331.0
small_scale,epsilon-greedy,27,0.002,12800,356.0
small_scale,epsilon-greedy,27,0.002,51200,410.0
small_scale,epsilon-greedy,27,0.002,204800,673.0
small_scale,epsilon-greedy,28,0.002,50,21.0
small_scale,epsilon-greedy,28,0.002,200,79.0
small_scale,epsilon-greedy,28,0.002,800,195.0
small_scale,epsilon-greedy,28,0.002,3200,185.0
small_scale,epsilon-greedy,28,0.002,12800,220.0
small_scale,epsilon-greedy,28,0.002,51200,176.0
small_scale,epsilon-greedy,28,0.002,204800,365.0
small_scale,epsilon-greedy,29,0.002,50,6.0
small_scale,epsilon-greedy,29,0.002,200,11.0
small_scale,epsilon-greedy,29,0.002,800,22.0
small_scale,epsilon-greedy,29,0.002,3200,18.0
small_scale,epsilon-greedy,29,0.002,12800,-33.0
small_scale,epsilon-greedy,29,0.002,51200,-18.0
small_scale,epsilon-greedy,29,0.002,204800,169.0
small_scale,epsilon-greedy,30,0.002,50,18.0
small_scale,epsilon-greedy,30,0.002,200,71.0
small_scale,epsilon-greedy,30,0.002,800,312.0
small_scale,epsilon-greedy,30,0.002,3200,1002.0
small_scale,epsilon-greedy,30,0.002,12800,1019.0
small_scale,epsilon-greedy,30,0.002,51200,984.0
small_scale,epsilon-greedy,30,0.002,204800,1074.0
small_scale,epsilon-greedy,31,0.002,50,20.0
small_scale,epsilon-greedy,31,0.002,200,76.0
small_scale,epsilon-greedy,31,0.002,800,340.0
small_scale,epsilon-greedy,31,0.002,3200,574.0
small_scale,epsilon-greedy,31,0.002,12800,586.0
small_scale,epsilon-greedy,31,0.002,51200,518.0
small_scale,epsilon-greedy,31,0.002,204800,383.0
small_scale,epsilon-greedy,32,0.002,50,19.0
small_scale,epsilon-greedy,32,0.002,200,81.0
small_scale,epsilon-greedy,32,0.002,800,324.0
small_scale,epsilon-greedy,32,0.002,3200,339.0
small_scale,epsilon-greedy,32,0.002,12800,403.0
small_scale,epsilon-greedy,32,0.002,51200,343.0
small_scale,epsilon-greedy,32,0.002,204800,673.0
small_scale,epsilon-greedy,33,0.002,50,13.0
small_scale,epsilon-greedy,33,0.002,200,62.0
small_scale,epsilon-greedy,33,0.002,800,72.0
small_scale,epsilon-greedy,33,0.002,3200,66.0
small_scale,epsilon-greedy,33,0.002,12800,23.0
small_scale,epsilon-greedy,33,0.002,51200,-66.0
small_scale,epsilon-greedy,33,0.002,204800,252.0
small_scale,epsilon-greedy,34,0.002,50,18.0
small_scale,epsilon-greedy,34,0.002,200,76.0
small_scale,epsilon-greedy,34,0.002,800,159.0
small_scale,epsilon-greedy,34,0.002,3200,142.0
small_scale,epsilon-greedy,34,0.002,12800,122.0
small_scale,epsilon-greedy,34,0.002,51200,218.0
small_scale,epsilon-greedy,34,0.002,204800,492.0
small_scale,epsilon-greedy,35,0.002,50,16.0
small_scale,epsilon-greedy,35,0.002,200,81.0
small_scale,epsilon-greedy,35,0.002,800,323.0
small_scale,epsilon-greedy,35,0.002,3200,677.0
small_scale,epsilon-greedy,35,0.002,12800,632.0
small_scale,epsilon-greedy,35,0.002,51200,570.0
small_scale,epsilon-greedy,35,0.002,204800,851.0
small_scale,epsilon-greedy,36,0.002,50,12.0
small_scale,epsilon-greedy,36,0.002,200,68.0
small_scale,epsilon-greedy,36,0.002,800,288.0
small_scale,epsilon-greedy,36,0.002,3200,287.0
small_scale,epsilon-greedy,36,0.002,12800,313.0
small_scale,epsilon-greedy,36,0.002,51200,437.0
small_scale,epsilon-greedy,36,0.002,204800,327.0
small_scale,epsilon-greedy,37,0.002,50,26.0
small_scale,epsilon-greedy,37,0.002,200,84.0
small_scale,epsilon-greedy,37,0.002,800,330.0
small_scale,epsilon-greedy,37,0.002,3200,875.0
small_scale,epsilon-greedy,37,0.002,12800,861.0
small_scale,epsilon-greedy,37,0.002,51200,840.0
small_scale,epsilon-greedy,37,0.002,204800,1063.0
small_scale,epsilon-greedy,38,0.002,50,30.0
small_scale,epsilon-greedy,38,0.002,200,90.0
small_scale,epsilon-greedy,38,0.002,800,325.0
small_scale,epsilon-greedy,38,0.002,3200,605.0
small_scale,epsilon-greedy,38,0.002,12800,552.0
small_scale,epsilon-greedy,38,0.002,51200,554.0
small_scale,epsilon-greedy,38,0.002,204800,743.0
small_scale,epsilon-greedy,39,0.002,50,25.0
small_scale,epsilon-greedy,39,0.002,200,89.0
small_scale,epsilon-greedy,39,0.002,800,333.0
small_scale,epsilon-greedy,39,0.002,3200,1281.0
small_scale,epsilon-greedy,39,0.002,12800,1287.0
small_scale,epsilon-greedy,39,0.002,51200,1356.0
small_scale,epsilon-greedy,39,0.002,204800,1641.0
small_scale,epsilon-greedy,40,0.002,50,19.0
small_scale,epsilon-greedy,40,0.002,200,83.0
small_scale,epsilon-greedy,40,0.002,800,339.0
small_scale,epsilon-greedy,40,0.002,3200,711.0
small_scale,epsilon-greedy,40,0.002,12800,716.0
small_scale,epsilon-greedy,40,0.002,51200,685.0
small_scale,epsilon-greedy,40,0.002,204800,911.0
small_scale,epsilon-greedy,41,0.002,50,17.0
small_scale,epsilon-greedy,41,0.002,200,77.0
small_scale,epsilon-greedy,41,0.002,800,323.0
small_scale,epsilon-greedy,41,0.002,3200,472.0
small_scale,epsilon-greedy,41,0.002,12800,499.0
small_scale,epsilon-greedy,41,0.002,51200,535.0
small_scale,epsilon-greedy,41,0.002,204800,471.0
small_scale,epsilon-greedy,42,0.002,50,20.0
small_scale,epsilon-greedy,42,0.002,200,76.0
small_scale,epsilon-greedy,42,0.002,800,338.0
small_scale,epsilon-greedy,42,0.002,3200,554.0
small_scale,epsilon-greedy,42,0.002,12800,566.0
small_scale,epsilon-greedy,42,0.002,51200,635.0
small_scale,epsilon-greedy,42,0.002,204800,696.0
small_scale,epsilon-greedy,43,0.002,50,21.0
small_scale,epsilon-greedy,43,0.002,200,81.0
small_scale,epsilon-greedy,43,0.002,800,323.0
small_scale,epsilon-greedy,43,0.002,3200,337.0
small_scale,epsilon-greedy,43,0.002,12800,283.0
small_scale,epsilon-greedy,43,0.002,51200,250.0
small_scale,epsilon-greedy,43,0.002,204800,173.0
small_scale,epsilon-greedy,44,0.002,50,20.0
small_scale,epsilon-greedy,44,0.002,200,80.0
small_scale,epsilon-greedy,44,0.002,800,322.0
small_scale,epsilon-greedy,44,0.002,3200,1138.0
small_scale,epsilon-greedy,44,0.002,12800,1206.0
small_scale,epsilon-greedy,44,0.002,51200,1273.0
small_scale,epsilon-greedy,44,0.002,204800,1400.0
small_scale,epsilon-greedy,45,0.002,50,17.0
small_scale,epsilon-greedy,45,0.002,200,85.0
small_scale,epsilon-greedy,45,0.002,800,280.0
small_scale,epsilon-greedy,45,0.002,3200,301.0
small_scale,epsilon-greedy,45,0.002,12800,232.0
small_scale,epsilon-greedy,45,0.002,51200,260.0
small_scale,epsilon-greedy,45,0.002,204800,324.0
small_scale,epsilon-greedy,46,0.002,50,20.0
small_scale,epsilon-greedy,46,0.002,200,79.0
small_scale,epsilon-greedy,46,0.002,800,334.0
small_scale,epsilon-greedy,46,0.002,3200,1303.0
small_scale,epsilon-greedy,46,0.002,12800,1494.0
small_scale,epsilon-greedy,46,0.002,51200,1574.0
small_scale,epsilon-greedy,46,0.002,204800,1846.0
small_scale,epsilon-greedy,47,0.002,50,18.0
small_scale,epsilon-greedy,47,0.002,200,83.0
small_scale,epsilon-greedy,47,0.002,800,317.0
small_scale,epsilon-greedy,47,0.002,3200,1210.0
small_scale,epsilon-greedy,47,0.002,12800,1134.0
small_scale,epsilon-greedy,47,0.002,51200,1155.0
small_scale,epsilon-greedy,47,0.002,204800,1303.0
small_scale,epsilon-greedy,48,0.002,50,18.0
small_scale,epsilon-greedy,48,0.002,200,69.0
small_scale,epsilon-greedy,48,0.002,800,301.0
small_scale,epsilon-greedy,48,0.002,3200,404.0
small_scale,epsilon-greedy,48,0.002,12800,448.0
small_scale,epsilon-greedy,48,0.002,51200,509.0
small_scale,epsilon-greedy,48,0.002,204800,329.0
small_scale,epsilon-greedy,49,0.002,50,23.0
small_scale,epsilon-greedy,49,0.002,200,40.0
small_scale,epsilon-greedy,49,0.002,800,30.0
small_scale,epsilon-greedy,49,0.002,3200,61.0
small_scale,epsilon-greedy,49,0.002,12800,86.0
small_scale,epsilon-greedy,49,0.002,51200,253.0
small_scale,epsilon-greedy,49,0.002,204800,476.0
small_scale,epsilon-greedy,0,0.02,50,12.0
small_scale,epsilon-greedy,0,0.02,200,10.0
small_scale,epsilon-greedy,0,0.02,800,13.0
small_scale,epsilon-greedy,0,0.02,3200,36.0
small_scale,epsilon-greedy,0,0.02,12800,68.0
small_scale,epsilon-greedy,0,0.02,51200,164.0
small_scale,epsilon-greedy,0,0.02,204800,711.0
small_scale,epsilon-greedy,1,0.02,50,23.0
small_scale,epsilon-greedy,1,0.02,200,39.0
small_scale,epsilon-greedy,1,0.02,800,51.0
small_scale,epsilon-greedy,1,0.02,3200,30.0
small_scale,epsilon-greedy,1,0.02,12800,90.0
small_scale,epsilon-greedy,1,0.02,51200,129.0
small_scale,epsilon-greedy,1,0.02,204800,832.0
small_scale,epsilon-greedy,2,0.02,50,16.0
small_scale,epsilon-greedy,2,0.02,200,24.0
small_scale,epsilon-greedy,2,0.02,800,38.0
small_scale,epsilon-greedy,2,0.02,3200,36.0
small_scale,epsilon-greedy,2,0.02,12800,119.0
small_scale,epsilon-greedy,2,0.02,51200,312.0
small_scale,epsilon-greedy,2,0.02,204800,1022.0
small_scale,epsilon-greedy,3,0.02,50,21.0
small_scale,epsilon-greedy,3,0.02,200,84.0
small_scale,epsilon-greedy,3,0.02,800,122.0
small_scale,epsilon-greedy,3,0.02,3200,144.0
small_scale,epsilon-greedy,3,0.02,12800,175.0
small_scale,epsilon-greedy,3,0.02,51200,562.0
small_scale,epsilon-greedy,3,0.02,204800,1087.0
small_scale,epsilon-greedy,4,0.02,50,24.0
small_scale,epsilon-greedy,4,0.02,200,52.0
small_scale,epsilon-greedy,4,0.02,800,47.0
small_scale,epsilon-greedy,4,0.02,3200,56.0
small_scale,epsilon-greedy,4,0.02,12800,137.0
small_scale,epsilon-greedy,4,0.02,51200,192.0
small_scale,epsilon-greedy,4,0.02,204800,922.0
small_scale,epsilon-greedy,5,0.02,50,14.0
small_scale,epsilon-greedy,5,0.02,200,83.0
small_scale,epsilon-greedy,5,0.02,800,278.0
small_scale,epsilon-greedy,5,0.02,3200,292.0
small_scale,epsilon-greedy,5,0.02,12800,406.0
small_scale,epsilon-greedy,5,0.02,51200,546.0
small_scale,epsilon-greedy,5,0.02,204800,953.0
small_scale,epsilon-greedy,6,0.02,50,25.0
small_scale,epsilon-greedy,6,0.02,200,51.0
small_scale,epsilon-greedy,6,0.02,800,75.0
small_scale,epsilon-greedy,6,0.02,3200,121.0
small_scale,epsilon-greedy,6,0.02,12800,94.0
small_scale,epsilon-greedy,6,0.02,51200,153.0
small_scale,epsilon-greedy,6,0.02,204800,671.0
small_scale,epsilon-greedy,7,0.02,50,26.0
small_scale,epsilon-greedy,7,0.02,200,81.0
small_scale,epsilon-greedy,7,0.02,800,77.0
small_scale,epsilon-greedy,7,0.02,3200,90.0
small_scale,epsilon-greedy,7,0.02,12800,41.0
small_scale,epsilon-greedy,7,0.02,51200,276.0
small_scale,epsilon-greedy,7,0.02,204800,1163.0
small_scale,epsilon-greedy,8,0.02,50,22.0
small_scale,epsilon-greedy,8,0.02,200,81.0
small_scale,epsilon-greedy,8,0.02,800,71.0
small_scale,epsilon-greedy,8,0.02,3200,58.0
small_scale,epsilon-greedy,8,0.02,12800,37.0
small_scale,epsilon-greedy,8,0.02,51200,188.0
small_scale,epsilon-greedy,8,0.02,204800,820.0
small_scale,epsilon-greedy,9,0.02,50,23.0
small_scale,epsilon-greedy,9,0.02,200,81.0
small_scale,epsilon-greedy,9,0.02,800,104.0
small_scale,epsilon-greedy,9,0.02,3200,100.0
small_scale,epsilon-greedy,9,0.02,12800,103.0
small_scale,epsilon-greedy,9,0.02,51200,285.0
small_scale,epsilon-greedy,9,0.02,204800,882.0
small_scale,epsilon-greedy,10,0.02,50,12.0
small_scale,epsilon-greedy,10,0.02,200,30.0
small_scale,epsilon-greedy,10,0.02,800,23.0
small_scale,epsilon-greedy,10,0.02,3200,5.0
small_scale,epsilon-greedy,10,0.02,12800,58.0
small_scale,epsilon-greedy,10,0.02,51200,204.0
small_scale,epsilon-greedy,10,0.02,204800,740.0
small_scale,epsilon-greedy,11,0.02,50,21.0
small_scale,epsilon-greedy,11,0.02,200,66.0
small_scale,epsilon-greedy,11,0.02,800,88.0
small_scale,epsilon-greedy,11,0.02,3200,121.0
small_scale,epsilon-greedy,11,0.02,12800,164.0
small_scale,epsilon-greedy,11,0.02,51200,219.0
small_scale,epsilon-greedy,11,0.02,204800,848.0
small_scale,epsilon-greedy,12,0.02,50,22.0
small_scale,epsilon-greedy,12,0.02,200,79.0
small_scale,epsilon-greedy,12,0.02,800,169.0
small_scale,epsilon-greedy,12,0.02,3200,157.0
small_scale,epsilon-greedy,12,0.02,12800,214.0
small_scale,epsilon-greedy,12,0.02,51200,319.0
small_scale,epsilon-greedy,12,0.02,204800,901.0
small_scale,epsilon-greedy,13,0.02,50,15.0
small_scale,epsilon-greedy,13,0.02,200,12.0
small_scale,epsilon-greedy,13,0.02,800,7.0
small_scale,epsilon-greedy,13,0.02,3200,19.0
small_scale,epsilon-greedy,13,0.02,12800,51.0
small_scale,epsilon-greedy,13,0.02,51200,55.0
small_scale,epsilon-greedy,13,0.02,204800,574.0
small_scale,epsilon-greedy,14,0.02,50,15.0
small_scale,epsilon-greedy,14,0.02,200,22.0
small_scale,epsilon-greedy,14,0.02,800,39.0
small_scale,epsilon-greedy,14,0.02,3200,37.0
small_scale,epsilon-greedy,14,0.02,12800,85.0
small_scale,epsilon-greedy,14,0.02,51200,298.0
small_scale,epsilon-greedy,14,0.02,204800,837.0
small_scale,epsilon-greedy,15,0.02,50,17.0
small_scale,epsilon-greedy,15,0.02,200,67.0
small_scale,epsilon-greedy,15,0.02,800,74.0
small_scale,epsilon-greedy,15,0.02,3200,79.0
small_scale,epsilon-greedy,15,0.02,12800,154.0
small_scale,epsilon-greedy,15,0.02,51200,254.0
small_scale,epsilon-greedy,15,0.02,204800,599.0
small_scale,epsilon-greedy,16,0.02,50,21.0
small_scale,epsilon-greedy,16,0.02,200,28.0
small_scale,epsilon-greedy,16,0.02,800,30.0
small_scale,epsilon-greedy,16,0.02,3200,77.0
small_scale,epsilon-greedy,16,0.02,12800,68.0
small_scale,epsilon-greedy,16,0.02,51200,158.0
small_scale,epsilon-greedy,16,0.02,204800,836.0
small_scale,epsilon-greedy,17,0.02,50,19.0
small_scale,epsilon-greedy,17,0.02,200,73.0
small_scale,epsilon-greedy,17,0.02,800,66.0
small_scale,epsilon-greedy,17,0.02,3200,59.0
small_scale,epsilon-greedy,17,0.02,12800,24.0
small_scale,epsilon-greedy,17,0.02,51200,154.0
small_scale,epsilon-greedy,17,0.02,204800,509.0
small_scale,epsilon-greedy,18,0.02,50,24.0
small_scale,epsilon-greedy,18,0.02,200,48.0
small_scale,epsilon-greedy,18,0.02,800,33.0
small_scale,epsilon-greedy,18,0.02,3200,49.0
small_scale,epsilon-greedy,18,0.02,12800,94.0
small_scale,epsilon-greedy,18,0.02,51200,181.0
small_scale,epsilon-greedy,18,0.02,204800,1027.0
small_scale,epsilon-greedy,19,0.02,50,16.0
small_scale,epsilon-greedy,19,0.02,200,11.0
small_scale,epsilon-greedy,19,0.02,800,17.0
small_scale,epsilon-greedy,19,0.02,3200,59.0
small_scale,epsilon-greedy,19,0.02,12800,87.0
small_scale,epsilon-greedy,19,0.02,51200,292.0
small_scale,epsilon-greedy,19,0.02,204800,853.0
small_scale,epsilon-greedy,20,0.02,50,24.0
small_scale,epsilon-greedy,20,0.02,200,60.0
small_scale,epsilon-greedy,20,0.02,800,61.0
small_scale,epsilon-greedy,20,0.02,3200,69.0
small_scale,epsilon-greedy,20,0.02,12800,112.0
small_scale,epsilon-greedy,20,0.02,51200,365.0
small_scale,epsilon-greedy,20,0.02,204800,997.0
small_scale,epsilon-greedy,21,0.02,50,20.0
small_scale,epsilon-greedy,21,0.02,200,31.0
small_scale,epsilon-greedy,21,0.02,800,40.0
small_scale,epsilon-greedy,21,0.02,3200,60.0
small_scale,epsilon-greedy,21,0.02,12800,128.0
small_scale,epsilon-greedy,21,0.02,51200,352.0
small_scale,epsilon-greedy,21,0.02,204800,948.0
small_scale,epsilon-greedy,22,0.02,50,5.0
small_scale,epsilon-greedy,22,0.02,200,-4.0
small_scale,epsilon-greedy,22,0.02,800,-4.0
small_scale,epsilon-greedy,22,0.02,3200,-3.0
small_scale,epsilon-greedy,22,0.02,12800,17.0
small_scale,epsilon-greedy,22,0.02,51200,242.0
small_scale,epsilon-greedy,22,0.02,204800,823.0
small_scale,epsilon-greedy,23,0.02,50,20.0
small_scale,epsilon-greedy,23,0.02,200,77.0
small_scale,epsilon-greedy,23,0.02,800,262.0
small_scale,epsilon-greedy,23,0.02,3200,279.0
small_scale,epsilon-greedy,23,0.02,12800,383.0
small_scale,epsilon-greedy,23,0.02,51200,370.0
small_scale,epsilon-greedy,23,0.02,204800,1148.0
small_scale,epsilon-greedy,24,0.02,50,18.0
small_scale,epsilon-greedy,24,0.02,200,41.0
small_scale,epsilon-greedy,24,0.02,800,20.0
small_scale,epsilon-greedy,24,0.02,3200,36.0
small_scale,epsilon-greedy,24,0.02,12800,83.0
